year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2050,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,8045985.258618733,10433829.608074948,13573820.353672754,6957220.735198541,9345065.084654756,12485055.830252562
2051,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,7970305.017228454,11375831.886766933,14197842.166036658,6848877.558105655,10254404.427644135,13076414.706913862
2052,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,8742592.351691637,12283644.28923599,14855008.77062162,7587522.068795156,11128574.006339509,13699938.487725139
2053,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,9339100.684228534,13546868.68428697,15135981.063390287,8149378.292845157,12357146.292903595,13946258.67200691
2054,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,10489311.243931862,13802849.09008468,16320011.267815547,9263897.180806983,12577435.0269598,15094597.204690669
2055,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,11488543.170763629,13900191.217384454,17457898.20464495,10226366.685745005,12638014.73236583,16195721.719626322
2056,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,12447288.167041566,14004638.928560264,17670503.495987736,11147246.387472384,12704597.148991082,16370461.71641855
2057,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,12996327.550764725,15247568.16609624,17828629.311353628,11657284.517808463,13908525.13313998,16489586.27839737
2058,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,14535208.502134778,16156013.790606478,18317131.49842204,13155994.17818983,14776799.466661531,16937917.174477093
2059,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,15449214.321714476,17736259.374950025,18998876.308535874,14028623.56805118,16315668.621286731,17578285.55487258
2060,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,16843847.39609896,19424177.16856774,20793529.231788926,15380638.919825766,17960968.692294545,19330320.755515732
2061,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,17629746.337585934,20710463.046969205,22696541.369797207,16122641.607024547,19203358.316407815,21189436.639235817
2062,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,19646821.617760837,22414134.914600566,23856350.5583564,18094503.745282605,20861817.042122334,22304032.68587817
2063,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,19859209.32934409,24142078.83927501,26363991.315154776,18260321.920691513,22543191.430622432,24765103.9065022
2064,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,20944646.45279503,25607886.451256953,29121602.60429132,19297792.421882868,23961032.4203448,27474748.573379166
2065,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,23289015.57173439,27990534.93340941,32032829.263096485,21592755.91989487,26294275.28156989,30336569.611256965
2066,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,26140975.359192703,29330072.662066087,34733849.45851259,24393827.917797998,27582925.220671378,32986702.01711788
