year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2049,530791.3598585753,766416.9671298291,1195311.8100925446,1795171.791080113,2683101.850768213,139391.35985857525,375016.96712982917,803911.8100925444,1403771.7910801128,2291701.850768213
2050,507527.2164298135,731244.2940438961,1192715.053956728,1855891.2935724135,2702955.971759446,116127.21642981344,339844.2940438961,801315.0539567278,1464491.2935724135,2311555.9717594464
2051,460478.5801027839,672145.0429465191,1183085.9182927907,1772945.6590616086,2875270.803211893,69078.58010278386,280745.0429465192,791685.9182927904,1381545.6590616088,2483870.8032118934
2052,429273.22583646403,628545.6362957838,1137157.9663150515,1871627.3779455102,3058577.154510513,37873.22583646403,237145.63629578377,745757.9663150514,1480227.3779455102,2667177.154510513
2053,379627.366158623,593670.9942622852,1098033.5888084671,1903191.9273731974,3060951.998247214,-11772.633841377057,202270.99426228506,706633.5888084671,1511791.9273731974,2669551.998247214
2054,343767.5238077104,533214.3120707647,1112235.666523017,1838034.982072911,3128142.2043126165,-47632.47619228966,141814.31207076472,720835.6665230168,1446634.982072911,2736742.2043126165
2055,340012.53376926883,489342.3892073047,1072876.6610983126,1861058.171732847,3042006.167211621,-51387.466230731116,97942.38920730473,681476.6610983128,1469658.171732847,2650606.1672116215
2056,343057.57734726206,446577.7736682815,1041050.493519704,1849382.232627165,3136927.088835223,-48342.422652737914,55177.77366828147,649650.4935197041,1457982.2326271653,2745527.088835223
2057,342718.0362594777,399899.21092635515,978477.7995013216,1822138.126718664,3326141.244031372,-48681.96374052224,8499.210926355136,587077.7995013216,1430738.126718664,2934741.244031372
2058,342388.3847179396,349704.5326571256,954168.7452778482,1843409.9408791014,3199773.3359034625,-49011.61528206043,-41695.4673428744,562768.7452778481,1452009.9408791014,2808373.335903463
2059,342068.33467761124,342068.33467761124,932039.6243446073,1879347.3759962139,3276457.6037954236,-49331.66532238878,-49331.66532238878,540639.6243446073,1487947.3759962139,2885057.603795423
2060,341757.6064831177,341757.6064831177,820574.5885292345,1974136.1817758726,3412550.7075715065,-49642.3935168823,-49642.3935168823,429174.5885292345,1582736.1817758726,3021150.707571506
2061,341455.928624386,341455.928624386,789299.77911716,1906732.2071499652,3472171.3118394697,-49944.07137561388,-49944.07137561388,397899.7791171601,1515332.2071499655,3080771.3118394697
2062,341163.0374994039,341163.0374994039,733517.3186520971,1950129.1053883831,3570621.2655524886,-50236.962500596004,-50236.962500596004,342117.31865209725,1558729.1053883831,3179221.2655524886
