year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2026,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2835.0,0.0,0.0,0.0,0.0
2027,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14563.106796116504,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2752.4271844660193,0.0,0.0,0.0,0.0
2028,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14138.938637006315,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2672.259402394194,0.0,0.0,0.0,0.0
2029,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13727.124890297393,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2594.426604266207,0.0,0.0,0.0,0.0
2030,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13327.305718735332,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2518.860780840978,0.0,0.0,0.0,0.0
2031,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12939.131765762459,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2445.4959037291046,0.0,0.0,0.0,0.0
2032,pre_retirement,brackets,single,0.0,0.0,11944.50817805636,6874.156908786972,11944.50817805636,0.0,0.0,11944.50817805636,0.0,0.0,11944.50817805636,11944.50817805636,12562.263850254812,0.0,0.0,0.0,579.5391056250887,579.5391056250887,1.0,oregon,single,2374.2678676981595,11944.50817805636,9570.2403103582,0.04846308239697989,0.0
2033,pre_retirement,brackets,single,0.0,0.0,2615.0617290744485,1382.909232200821,2615.0617290744485,0.0,0.0,2615.0617290744485,0.0,0.0,2615.0617290744485,2615.0617290744485,12196.372670150304,0.0,0.0,0.0,13.82255569283701,13.82255569283701,1.0,oregon,single,2305.1144346584074,2615.0617290744485,309.94729441604113,0.005383716881685619,0.0
2034,pre_retirement,brackets,single,0.0,0.0,4808.661854409724,2338.6493530686494,4808.661854409724,0.0,0.0,4808.661854409724,0.0,0.0,4808.661854409724,4808.661854409724,11841.138514709033,0.0,0.0,0.0,121.56902208434607,121.56902208434607,1.0,oregon,single,2237.975179280007,4808.661854409724,2570.6866751297157,0.025388367746310758,0.0
2035,pre_retirement,brackets,single,0.0,0.0,2592.2774662444044,1183.0913572803006,2592.2774662444044,0.0,0.0,2592.2774662444044,0.0,0.0,2592.2774662444044,2592.2774662444044,11496.2509851544,0.0,0.0,0.0,19.926835040934296,19.926835040934296,1.0,oregon,single,2172.7914361941816,2592.2774662444044,419.4860300502228,0.00773172019853545,0.0
