year,tax_phase,tax_mode,tax_filing_status,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,taxable_income,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,annual_federal_taxes,annual_state_taxes,annual_taxes,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed
2036,pre_retirement,brackets,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11161.408723450873,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2109.506248732215,0.0,0.0,0.0,0.0
2037,pre_retirement,brackets,single,0.0,0.0,904.8956685694243,325.08913489028987,904.8956685694243,0.0,0.0,904.8956685694243,0.0,0.0,904.8956685694243,904.8956685694243,10836.319148981429,0.0,0.0,0.0,0.0,0.0,1.0,oregon,single,2048.0643191574904,904.8956685694243,0.0,0.0,0.0
2038,pre_retirement,brackets,single,0.0,12624.837843473511,0.0,0.0,0.0,0.0,0.0,12624.837843473511,0.0,0.0,12624.837843473511,12624.837843473511,10520.698202894593,2104.1396405789183,0.016666666666666666,210.41396405789183,711.9005783958675,922.3145424537593,1.0,oregon,single,1988.4119603470779,12624.837843473511,10636.425883126432,0.05638888888888889,0.0
2039,pre_retirement,brackets,single,0.0,12257.124119877195,0.0,0.0,0.0,0.0,0.0,12257.124119877195,8253.130240717312,0.5,20510.254360594507,20510.254360594507,10214.270099897662,10295.984260696843,0.052320717131474105,1073.1112166952485,691.1656100930751,1764.2768267883237,1.0,oregon,single,1930.4970488806582,12257.124119877195,10326.627070996536,0.05638888888888889,0.0
2040,retirement,brackets,single,0.0,11900.12050473514,16325.373058361001,0.0,0.0,0.0,0.0,28225.49356309614,13621.671271086823,0.85,36238.241369617805,41847.164834182964,9916.767087279284,31930.397746903684,0.08779498318461011,3673.9711329407014,2100.3712690857524,5774.342402026454,1.0,oregon,single,1874.2689794957846,28225.49356309614,26351.224583600357,0.07441397842664885,0.0
2041,retirement,brackets,single,0.0,11553.515053140914,18356.362866468386,0.0,0.0,0.0,0.0,29909.8779196093,13224.923564161965,0.85,37689.24472205751,43134.80148377127,9627.92921095076,33506.8722728205,0.09521318968179315,4107.002035560807,2258.0703309416517,6365.072366502458,1.0,oregon,single,1819.678620869694,29909.8779196093,28090.199298739604,0.07549580566697105,0.0
2042,retirement,brackets,single,0.0,11217.00490596205,20349.00537302644,0.0,0.0,0.0,0.0,31566.01027898849,12839.731615691227,0.85,39118.79358233627,44405.74189467972,9347.504088301708,35058.23780637801,0.10231526533900809,4543.385264529663,2416.0182233563814,6959.403487886045,1.0,oregon,single,1766.6782726890228,31566.01027898849,29799.332006299468,0.07653859965206224,0.0
2043,retirement,brackets,single,0.0,0.0,46591.19956080145,0.0,0.0,0.0,0.0,46591.19956080145,12465.758850185657,0.85,53923.99888444007,59056.95841098711,9075.24668767156,49981.711723315544,0.13408856718380657,7918.8629355629155,3739.0016353206834,11657.8645708836,1.0,oregon,single,1715.221623969925,46591.19956080145,44875.97793683152,0.08025124209221725,0.0
2044,retirement,brackets,single,0.0,0.0,63311.01770804348,0.0,0.0,0.0,0.0,63311.01770804348,12102.67849532588,0.85,70430.24035235282,75413.69620336936,8810.919114244234,66602.77708912513,0.15624526400794975,11783.032873110762,5211.952353379273,16994.985226490036,1.0,oregon,single,1665.2637125921601,63311.01770804348,61645.75399545132,0.08232299119584535,0.0
2045,retirement,brackets,single,0.0,0.0,36237.462770580634,0.0,0.0,0.0,0.0,36237.462770580634,11750.173296432893,0.85,43149.329415541164,47987.63606701353,8554.290402178867,39433.34566483467,0.12034060827321706,5774.861313898178,2852.5707061132466,8627.432020011425,1.0,oregon,single,1616.760886011806,36237.462770580634,34620.70188456883,0.07871883095604322,0.0
2046,retirement,brackets,single,0.0,0.0,37705.70097754683,0.0,0.0,0.0,0.0,37705.70097754683,11407.935239255237,0.85,44416.25111828521,49113.63621680207,8305.136312795017,40808.499904007054,0.12546159412611033,6161.875093089855,2990.4027483603927,9152.277841450248,1.0,oregon,single,1569.6707631182583,37705.70097754683,36136.030214428574,0.07930903473034838,0.0
2047,retirement,brackets,single,0.0,0.0,39130.51810082671,0.0,0.0,0.0,0.0,39130.51810082671,11075.665280830326,0.85,45645.61532484455,50206.183381657036,8063.2391386359395,42142.9442430211,0.1302124892962812,6537.472116191148,3123.698842307563,9661.170958498711,1.0,oregon,single,1523.9521972021926,39130.51810082671,37606.56590362452,0.07982768933083889,0.0
2048,retirement,brackets,single,0.0,0.0,33391.48665915665,0.0,0.0,0.0,0.0,33391.48665915665,10753.073088184783,0.85,39716.82376985358,44144.55974734144,7828.387513238777,36316.17223410266,0.12085700063467267,5335.212632013758,2630.59915069867,7965.811782712428,1.0,oregon,single,1479.5652400021288,33391.48665915665,31911.921419154525,0.07878041668056726,0.0
2049,retirement,brackets,single,0.0,0.0,33656.23246072985,0.0,0.0,0.0,0.0,33656.23246072985,10439.87678464542,0.85,39797.33645169774,44096.109245375264,7600.3762264454135,36495.73301892985,0.12363925776857955,5452.027031651142,2662.1584462496135,8114.185477900756,1.0,oregon,single,1436.4711067981832,33656.23246072985,32219.76135393166,0.07909847674912975,0.0
2050,retirement,brackets,single,0.0,0.0,29936.579257825913,0.0,0.0,0.0,0.0,29936.579257825913,10135.802703539242,0.85,35898.816142260766,40072.38196136516,7379.006045092634,32693.375916272522,0.11705219272709648,4690.567718557212,2344.802154262269,7035.369872819481,1.0,oregon,single,1394.6321425225078,29936.579257825913,28541.947115303406,0.07832562821494561,0.0
2051,retirement,brackets,single,0.0,0.0,33034.47711335508,0.0,0.0,0.0,0.0,33034.47711335508,9840.585149067225,0.85,38823.056612806395,42875.06226242231,7164.083538924887,35710.97872349742,0.12658200459063126,5427.313393904635,2623.964997523555,8051.27839142819,1.0,oregon,single,1354.0117888568036,33034.47711335508,31680.46532449828,0.07943072497475277,0.0
2052,retirement,brackets,single,0.0,0.0,30361.90597119843,0.0,0.0,0.0,0.0,30361.90597119843,9553.966164142936,0.85,35981.8860677531,39915.872135341364,6955.420911577559,32960.451223763805,0.12258114992836319,4892.947885475805,2397.997282948223,7290.945168424029,1.0,oregon,single,1314.5745522881589,30361.90597119843,29047.331418910268,0.07898040436836223,0.0
2053,retirement,brackets,single,0.0,0.0,42500.42000122533,0.0,0.0,0.0,0.0,42500.42000122533,9275.695304993142,0.85,47956.711357103646,51776.115306218475,6752.835836483068,45023.279469735404,0.14708432967152446,7615.459945718264,3467.5812020340554,11083.04114775232,1.0,oregon,single,1276.2859730952998,42500.42000122533,41224.134028130036,0.08158932527802032,0.0
2054,retirement,brackets,single,0.0,0.0,36444.549685189544,0.0,0.0,0.0,0.0,36444.549685189544,9005.52942232344,0.85,41741.91993361509,45450.07910751298,6556.151297556376,38893.9278099566,0.13935490819911767,6333.6917515656705,2945.023162862324,9278.714914427994,1.0,oregon,single,1239.112595238155,36444.549685189544,35205.43708995139,0.08080832813564967,0.0
2055,retirement,brackets,single,0.0,0.0,38289.55830319715,0.0,0.0,0.0,0.0,38289.55830319715,8743.232448857707,0.85,43432.636214289916,47032.79075205486,6365.195434520753,40667.595317534106,0.14433854765409826,6788.645371192666,3113.429260205251,9902.074631397918,1.0,oregon,single,1203.0219371244225,38289.55830319715,37086.53636607273,0.0813127487689579,0.0
2056,retirement,brackets,single,0.0,0.0,35724.271841118796,0.0,0.0,0.0,0.0,35724.271841118796,8488.575193065735,0.85,40717.551366451575,44212.847034184524,6179.8013927385955,38033.04564144593,0.14185707952752372,6271.905382220205,2895.854932637306,9167.76031485751,1.0,oregon,single,1167.9824632275945,35724.271841118796,34556.2893778912,0.08106127212260149,0.0
2057,retirement,brackets,single,0.0,0.0,34550.74347045494,0.0,0.0,0.0,0.0,34550.74347045494,8241.335138898772,0.85,39398.58766980716,42792.07860935372,5999.807177416112,36792.271431937595,0.14161391099660758,6059.965094737048,2799.910016127519,8859.875110864567,1.0,oregon,single,1133.9635565316453,34550.74347045494,33416.779913923296,0.08103759444670162,0.0
2058,retirement,brackets,single,0.0,0.0,33223.63651950787,0.0,0.0,0.0,0.0,33223.63651950787,8001.2962513580305,0.85,37930.28137324788,41224.9327708659,5825.055512054478,35399.87725881142,0.14100125826495957,5812.890841317907,2690.398972500895,8503.289813818803,1.0,oregon,single,1100.9354917782964,33223.63651950787,32122.70102772957,0.08097809779498202,0.0
2059,retirement,brackets,single,0.0,0.0,31090.08250183856,0.0,0.0,0.0,0.0,31090.08250183856,7768.248787726243,0.85,35659.640612265765,38858.3312895648,5655.393701023764,33202.93758854104,0.13863408296187124,5387.090778585237,2510.052237637714,7897.14301622295,1.0,oregon,single,1068.8694094934915,31090.08250183856,30021.213092345068,0.08073481547701,0.0
2060,retirement,brackets,single,0.0,0.0,30652.178572046127,0.0,0.0,0.0,0.0,30652.178572046127,7541.989114297324,0.85,35088.64275692691,38194.167686343455,5490.673496139577,32703.494190203877,0.13962906419074517,5333.0643617537935,2477.75792635792,7810.822288111713,1.0,oregon,single,1037.73729077038,30652.178572046127,29614.44128127575,0.08083425138565753,0.0
2061,retirement,brackets,single,0.0,0.0,27393.928523353414,0.0,0.0,0.0,0.0,27393.928523353414,7322.319528444003,0.85,31701.17530479106,34716.24805179742,5330.750967125803,29385.497084671613,0.13415414826066013,4657.329397374299,2198.7570822404896,6856.086479614789,1.0,oregon,single,1007.5119327867767,27393.928523353414,26386.416590566638,0.0802643929613279,0.0
2062,retirement,brackets,single,0.0,0.0,9932.17674328651,0.0,0.0,0.0,0.0,9932.17674328651,7109.048085867963,0.85,14113.969734973549,17041.224829154475,5175.486375850293,11865.73845330418,0.07851400368636555,1341.598381020482,676.4360693236333,2018.0344503441156,1.0,oregon,single,978.1669250357055,9932.17674328651,8954.009818250806,0.06782095707922037,0.0
