year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2040,2626520.9087811676,2794348.4664947535,3284920.4511192553,3562529.808013926,3752417.3349699294,2034493.290472877,2202320.8481864627,2692892.8328109644,2970502.189705635,3160389.7166616386
2041,2793455.7608504808,2949242.6656694305,3490736.2072984735,3791253.3520029895,4143986.042848674,2183667.3139929413,2339454.218811891,2880947.760440934,3181464.90514545,3534197.5959911346
2042,2964723.392281746,3103728.2049629614,3679514.944884196,4142211.349778076,4417367.566951585,2336641.29201848,2475646.1046996955,3051432.8446209305,3514129.2495148103,3789285.4666883196
2043,3097869.9191709855,3296648.7297307206,3722258.3138341345,4443939.68185037,4920591.472192542,2450945.355899822,2649724.166459557,3075333.750562971,3797015.118579206,4273666.908921378
2044,3183755.2455874393,3393504.6639843495,3913925.11902612,4752143.784084645,5249145.802597148,2517422.945418141,2727172.363815051,3247592.8188568214,4085811.4839153467,4582813.50242785
2045,3374323.977243284,3820473.30935327,4042512.538063995,4878820.744843465,5653654.77746893,2688001.708068907,3134151.0401788927,3356190.2688896176,4192498.4756690874,4967332.508294553
2046,3492632.929907465,4086186.1543797883,4421510.874354875,5566675.561600362,6126658.24654888,2785720.992657856,3379274.2171301795,3714598.937105266,4859763.624350753,5419746.309299271
2047,3219649.521294883,4340416.969277356,4719629.091033747,5992359.636186585,6614396.342206818,2491530.2259277855,3612297.6739102593,3991509.79566665,5264240.340819487,5886277.046839721
2048,3413367.4617530433,4721534.6501461845,5181224.8231429495,6133933.631100579,7364417.587074462,2663404.5875249333,3971571.775918075,4431261.948914839,5383970.756872469,6614454.712846352
2049,3712380.728547067,4744633.169938063,5747810.951152259,6390775.179715441,7367802.217363759,2939918.9680921133,3972171.4094831096,4975349.190697305,5618313.419260487,6595340.456908805
2050,4074354.2695884,4519441.520674497,6200714.966412959,6855742.9945629435,8271579.040020615,3278718.656319798,3723805.9074058947,5405079.353144356,6060107.381294341,7475943.426752013
2051,4435221.343173649,4816034.973504679,6781262.76547996,7436564.72861311,8157119.57451981,3615716.661506989,3996530.291838019,5961758.083813299,6617060.046946449,7337614.89285315
2052,4796123.335802076,5284180.952951709,7265781.413414626,8009679.232212073,8952598.56920045,3952033.513685416,4440091.130835049,6421691.591297966,7165589.410095413,8108508.747083791
