year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2047,965957.7402543107,1402900.7791611096,2717735.4777181987,4432455.416660602,6859340.543135599,-142428.27888411173,294514.76002268726,1609349.4585797763,3324069.3975221794,5750954.523997177
2048,999393.6025576319,1239002.6989146387,2620935.804965835,4545888.009326639,7207112.843634691,-147785.92725063508,91823.16910637177,1473756.2751575676,3398708.479518371,6059933.313826424
2049,1034026.5082834021,1116182.6452156478,2619921.7140941927,4799805.397052302,8038785.7780346675,-153304.30506815415,-71148.16813590846,1432590.9007426368,3612474.583700746,6851454.964683111
2050,1069899.1575986617,1069899.1575986617,2653185.2553182617,4990507.640235766,8455476.365339898,-158988.2342201988,-158988.2342201988,1424297.8634994011,3761620.248416905,7226588.973521038
2051,1107055.769285716,1107055.769285716,2701369.688081719,5286909.438583832,9684884.960240992,-164842.68124680474,-164842.68124680474,1429471.2375491983,4015010.9880513116,8412986.509708472
2052,1145542.1346169498,1145542.1346169498,2457079.1396652297,5536051.993647963,9950400.583847605,-170872.7616842089,-170872.7616842089,1140664.243364071,4219637.097346804,8633985.687546447
2053,1159405.673136964,1159405.673136964,2442089.0161308832,5773789.367782523,10475829.202834249,-203083.7445347352,-203083.7445347352,1079599.598459184,4411299.950110824,9113339.78516255
2054,1200695.4904194314,1200695.4904194314,2304055.267811165,5505140.5486179525,11128956.707040768,-209481.05687077725,-209481.05687077725,893878.7205209566,4094964.0013277438,9718780.15975056
2055,1243462.4378684652,1243462.4378684652,2216824.2049477054,5610742.007571582,12038354.412527144,-216070.28857690055,-216070.28857690055,757291.4785023397,4151209.2811262165,10578821.686081778
2056,1287759.1746367458,1287759.1746367458,2125438.8223811425,5831065.403142508,12486108.606519738,-222857.19723420756,-222857.19723420756,614822.4505101889,4320449.0312715545,10975492.234648785
2057,1333640.231735203,1333640.231735203,1925467.7795780268,5761302.35383101,13772278.33713863,-229847.7131512338,-229847.7131512338,361979.83469159016,4197814.408944573,12208790.392252194
2058,1397162.0784116911,1397162.0784116911,1739707.2823634613,6192307.943165701,15524431.247010153,-221047.94454577082,-221047.94454577082,121497.2594059996,4574097.920208239,13906221.224052692
2059,1446383.190878829,1446383.190878829,1565794.3240968594,6796188.373959882,14955631.446792627,-228464.18288214394,-228464.18288214394,-109053.04966411344,5121341.000198909,13280784.073031655
2060,1497364.1234739986,1497364.1234739986,1497364.1234739986,7275603.5495300945,16340779.61633477,-236102.90836860827,-236102.90836860827,-236102.90836860827,5542136.517687487,14607312.584492164
2061,1550167.5823374314,1550167.5823374314,1550167.5823374314,6962154.199325594,16726575.534709701,-243970.79561966652,-243970.79561966652,-243970.79561966652,5168015.821368496,14932437.156752603
2062,1604858.5016973396,1604858.5016973396,1604858.5016973396,7184151.880870666,17969932.9311777,-252074.71948825655,-252074.71948825655,-252074.71948825655,5327218.65968507,16112999.709992109
2063,1661504.1228541876,1661504.1228541876,1661504.1228541876,8211572.969948787,18706604.42046004,-260421.76107290422,-260421.76107290422,-260421.76107290422,6289647.086021695,16784678.53653295
2064,1720174.0759594487,1720174.0759594487,1720174.0759594487,8266603.834760863,18408464.4669254,-269019.2139050914,-269019.2139050914,-269019.2139050914,6277410.544896323,16419271.177060863
2065,1780940.4646875546,1780940.4646875546,1780940.4646875546,8931172.043559523,18717206.824164473,-277874.59032224416,-277874.59032224416,-277874.59032224416,6872356.988549724,16658391.769154677
2066,1843877.9539032304,1843877.9539032304,1843877.9539032304,8842959.902623046,20637726.7365544,-286995.62803191144,-286995.62803191144,-286995.62803191144,6712086.320687905,18506853.154619258
