year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2053,250,160,0.64,90,0.36,11,0.044,96,0.384,6,0.024,0.2326146046196082,1.0,1.0,521951.7452387376,1099401.7482673535,4716103.657184998,-91426.07919342215,486023.92383519385,4102725.8327528373
2054,250,154,0.616,96,0.384,6,0.024,100,0.4,4,0.016,0.2271242619502832,1.0,1.0,524796.0864988964,1007048.9955801184,4864208.263687605,-91559.3001877885,390693.6088934335,4247852.8770009205
2055,250,148,0.592,102,0.408,6,0.024,110,0.44,8,0.032,0.22173373199138016,1.0,1.0,527658.7621678934,940701.2872312155,5108431.903050703,-91688.64095901794,321353.88410430425,4489084.499923792
2056,250,135,0.54,115,0.46,13,0.052,117,0.468,2,0.008,0.2164426082481485,1.0,1.0,530539.729395471,875652.6529821109,5144111.423763736,-91814.21452331838,253298.70906332147,4521757.479844946
2057,250,130,0.52,120,0.48,5,0.02,122,0.488,2,0.008,0.21125041384217513,1.0,1.0,533438.9489637172,770162.3602530474,5508734.294435786,-91936.13060516349,144787.2806841667,4883359.2148669055
2058,250,128,0.512,122,0.488,2,0.008,124,0.496,2,0.008,0.21782827124320217,1.0,1.0,542569.7777390342,675592.7662995064,6028711.587127151,-85841.103186977,47181.88537349538,5400300.70620114
2059,250,125,0.5,125,0.5,3,0.012,127,0.508,2,0.008,0.21225816202028888,0.640613482574796,1.0,545324.4257975188,590345.5571730761,5638665.5919349305,-86136.99338541455,-41115.86200985726,5007204.172751997
2060,250,123,0.492,127,0.508,2,0.008,129,0.516,2,0.008,0.20681112180684505,0.20681112180684505,1.0,548102.5004552635,548102.5004552635,5981459.036377812,-86424.26542273258,-86424.26542273258,5346932.270499815
2061,250,121,0.484,129,0.516,2,0.008,129,0.516,0,0.0,0.2014854177797241,0.2014854177797241,1.0,550903.8225834887,550903.8225834887,5944347.247223769,-86703.1703133326,-86703.1703133326,5306740.254326948
2062,250,119,0.476,131,0.524,2,0.008,132,0.528,1,0.004,0.19627928980708717,0.19627928980708717,1.0,553728.220713473,553728.220713473,6200209.537350249,-86973.95176051708,-86973.95176051708,5559507.364876259
2063,250,117,0.468,133,0.532,2,0.008,133,0.532,0,0.0,0.19119095378219692,0.19119095378219692,1.0,556575.5308253035,556575.5308253035,6266393.289094616,-87236.84636943405,-87236.84636943405,5622580.911899879
2064,250,115,0.46,135,0.54,2,0.008,136,0.544,1,0.004,0.18621860483240713,0.18621860483240713,1.0,559445.5961428344,559445.5961428344,5986914.069745604,-87492.0838538195,-87492.0838538195,5339976.38974895
2065,250,114,0.456,136,0.544,1,0.004,139,0.556,3,0.012,0.18136042040252193,0.18136042040252193,1.0,562338.2669346768,562338.2669346768,5910024.425889564,-87739.88723671794,-87739.88723671794,5259946.271718169
2066,250,109,0.436,141,0.564,5,0.02,141,0.564,0,0.0,0.17661456321217103,0.17661456321217103,1.0,565253.4003210444,565253.4003210444,6326636.309111232,-87980.47304535721,-87980.47304535721,5673402.43574483
