year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2050,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1039497.3853716685,2183730.0029754527,5122098.820833538,400897.3853716686,1545130.0029754527,4483498.820833538
2051,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,998451.7930377491,2120957.4334450467,5246887.747574598,359851.79303774924,1482357.4334450474,4608287.747574598
2052,250,249,0.996,1,0.004,1,0.004,1,0.004,0,0.0,1.0,1.0,1.0,962288.1747873784,2139993.37649451,5239734.915161867,323688.17478737846,1501393.3764945096,4601134.915161867
2053,250,244,0.976,6,0.024,5,0.02,6,0.024,0,0.0,1.0,1.0,1.0,904029.694335165,2101495.4571103705,5222345.539745904,265429.6943351651,1462895.4571103705,4583745.539745904
2054,250,239,0.956,11,0.044,5,0.02,11,0.044,0,0.0,1.0,1.0,1.0,870682.5966108089,2074010.4501570726,5516241.051296169,232082.59661080904,1435410.4501570726,4877641.05129617
2055,250,234,0.936,16,0.064,5,0.02,16,0.064,0,0.0,1.0,1.0,1.0,804277.9432381022,2093667.7110941447,5618150.777178057,165677.94323810234,1455067.7110941452,4979550.777178057
2056,250,233,0.932,17,0.068,1,0.004,17,0.068,0,0.0,1.0,1.0,1.0,764976.0491475515,2041539.8068728151,6016886.941026176,126376.04914755165,1402939.8068728154,5378286.941026176
2057,250,230,0.92,20,0.08,3,0.012,20,0.08,0,0.0,1.0,1.0,1.0,710252.6531129928,1966901.0943320412,5939449.608076641,71652.65311299292,1328301.0943320415,5300849.608076641
2058,250,226,0.904,24,0.096,4,0.016,24,0.096,0,0.0,1.0,1.0,1.0,645178.254987938,1882244.7918784716,6434813.131733063,6578.254987938131,1243644.7918784716,5796213.131733064
2059,250,216,0.864,34,0.136,10,0.04,34,0.136,0,0.0,0.40425682081631165,1.0,1.0,583347.6510832692,1837389.3874680488,6917189.492877189,-55252.34891673072,1198789.3874680488,6278589.492877189
2060,250,212,0.848,38,0.152,4,0.016,38,0.152,0,0.0,0.3308680187618628,1.0,1.0,592113.8758815734,1816480.448112357,7399816.919822036,-46486.12411842647,1177880.4481123574,6761216.919822036
2061,250,209,0.836,41,0.164,3,0.012,41,0.164,0,0.0,0.32264223532497327,1.0,1.0,591748.2290112362,1771982.300659729,7272386.178255446,-46851.770988763565,1133382.3006597292,6633786.178255446
2062,250,202,0.808,48,0.192,7,0.028,48,0.192,0,0.0,0.3145865976978354,1.0,1.0,591393.232049744,1717028.666111587,7313087.0235111425,-47206.76795025589,1078428.6661115875,6674487.0235111425
2063,250,196,0.784,54,0.216,6,0.024,54,0.216,0,0.0,0.3066992914968379,1.0,1.0,591048.5748055766,1795327.2042810137,7635432.994337198,-47551.42519442319,1156727.204281014,6996832.994337198
2064,250,195,0.78,55,0.22,1,0.004,55,0.22,0,0.0,0.29897843338363866,1.0,1.0,590713.9561219191,1718843.3126221048,7944686.840919046,-47886.04387808078,1080243.3126221048,7306086.840919046
2065,250,192,0.768,58,0.232,3,0.012,58,0.232,0,0.0,0.29142207632103256,1.0,1.0,590389.0836135136,1667423.9374294817,8181897.331060308,-48210.91638648618,1028823.9374294818,7543297.331060309
2066,250,189,0.756,61,0.244,3,0.012,61,0.244,0,0.0,0.28402821469934836,1.0,1.0,590073.6734111783,1686767.470234931,8992458.310205584,-48526.32658882154,1048167.470234931,8353858.310205586
