year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2045,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1141442.5235861293,1959865.5414687544,3642109.6340218596,605842.5235861294,1424265.5414687544,3106509.63402186
2046,250,250,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1093984.8697405779,1964202.2234134022,3580793.6624084427,558384.8697405778,1428602.2234134024,3045193.6624084427
2047,250,249,0.996,1,0.004,1,0.004,1,0.004,0,0.0,1.0,1.0,1.0,1018352.7433137401,2010201.6845546814,3723337.0636171205,482752.7433137402,1474601.6845546812,3187737.0636171205
2048,250,248,0.992,2,0.008,1,0.004,2,0.008,0,0.0,1.0,1.0,1.0,993823.9542061574,1973948.0667638306,3848569.004937993,458223.95420615736,1438348.0667638306,3312969.0049379934
2049,250,248,0.992,2,0.008,0,0.0,2,0.008,0,0.0,1.0,1.0,1.0,912420.3791382706,1925654.916034312,4127111.6653710506,376820.37913827057,1390054.916034312,3591511.6653710506
2050,250,244,0.976,6,0.024,4,0.016,6,0.024,0,0.0,1.0,1.0,1.0,848353.3062833786,1985971.4728228096,4238111.026571076,312753.3062833786,1450371.4728228096,3702511.0265710778
2051,250,241,0.964,9,0.036,3,0.012,9,0.036,0,0.0,1.0,1.0,1.0,772707.0567981334,1993366.8747131974,4694208.7039013,237107.05679813324,1457766.8747131974,4158608.7039013
2052,250,238,0.952,12,0.048,3,0.012,12,0.048,0,0.0,1.0,1.0,1.0,724709.7380516126,2045844.2562926156,4773820.471076092,189109.73805161263,1510244.2562926156,4238220.471076093
2053,250,236,0.944,14,0.056,2,0.008,14,0.056,0,0.0,1.0,1.0,1.0,628655.0905970779,1929715.3657620375,5078948.397283573,93055.09059707788,1394115.3657620372,4543348.397283574
2054,250,227,0.908,23,0.092,9,0.036,23,0.092,0,0.0,1.0,1.0,1.0,563823.5089643517,1890367.0213356584,5212985.275162911,28223.508964351677,1354767.0213356582,4677385.27516291
2055,250,218,0.872,32,0.128,9,0.036,32,0.128,0,0.0,0.5179414139840591,1.0,1.0,489282.4964185675,1879133.313715262,5311296.049112816,-46317.503581432575,1343533.313715262,4775696.049112816
2056,250,210,0.84,40,0.16,8,0.032,40,0.16,0,0.0,0.21965426004978242,1.0,1.0,463238.234521425,1882183.470775831,5356622.916620783,-72361.76547857508,1346583.470775831,4821022.916620783
2057,250,202,0.808,48,0.192,8,0.032,48,0.192,0,0.0,0.20781279637268202,1.0,1.0,460215.8516551589,1848152.37176857,5353571.789703137,-75384.1483448412,1312552.37176857,4817971.789703137
2058,250,194,0.776,56,0.224,8,0.032,56,0.224,0,0.0,0.20868982008643738,1.0,1.0,462799.7686128995,1824107.2745809308,5702544.24733193,-72800.23138710066,1288507.2745809308,5166944.24733193
2059,250,191,0.764,59,0.236,3,0.012,59,0.236,0,0.0,0.20338412501945524,1.0,1.0,462590.0666144655,1593413.184055897,5847797.470663486,-73009.93338553463,1057813.184055897,5312197.470663485
2060,250,188,0.752,62,0.248,3,0.012,62,0.248,0,0.0,0.19819410562732961,1.0,1.0,462386.47244122875,1521251.0557856443,5582503.298800381,-73213.52755877149,985651.0557856443,5046903.298800381
2061,250,182,0.728,68,0.272,6,0.024,68,0.272,0,0.0,0.1931182134414616,1.0,1.0,462188.80819536763,1396757.4093970146,5851993.369764058,-73411.1918046325,861157.4093970145,5316393.369764058
2062,250,177,0.708,73,0.292,5,0.02,73,0.292,0,0.0,0.18815486982747584,1.0,1.0,461996.9011605511,1444318.4598014276,6329950.678955234,-73603.09883944904,908718.4598014273,5794350.678955234
2063,250,170,0.68,80,0.32,7,0.028,80,0.32,0,0.0,0.18330246923001964,1.0,1.0,461810.5836510205,1320269.342779371,6198495.189380667,-73789.41634897963,784669.342779371,5662895.189380668
2064,250,163,0.652,87,0.348,7,0.028,87,0.348,0,0.0,0.17855938230488574,1.0,1.0,461629.6928650685,1234888.0662510833,6612948.8044073535,-73970.3071349317,699288.066251083,6077348.8044073535
2065,250,156,0.624,94,0.376,7,0.028,94,0.376,0,0.0,0.1739239589369485,1.0,1.0,461454.07074278494,1183889.2100494502,6759955.400036156,-74145.92925721523,648289.2100494499,6224355.400036156
2066,250,149,0.596,101,0.404,7,0.028,101,0.404,0,0.0,0.1693945311428863,1.0,1.0,461283.56382794655,1102777.2808201537,6361343.832330877,-74316.43617205363,567177.2808201534,5825743.832330878
