year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2039,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2588563.4147030823,3422274.55679865,3559527.279870118,2090968.3809622389,2924679.5230578063,3061932.2461292744
2040,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,2888927.074495377,3586737.5825603297,4011771.838562789,2376058.8504575007,3073869.3585224533,3498903.6145249126
2041,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3139218.889897836,3901714.351272165,4421627.283282921,2611207.504404138,3373702.965778467,3893615.897789223
2042,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3353747.0727819735,4106497.7925858377,4751247.736954283,2810709.891348944,3563460.611152808,4208210.5555212535
2043,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3477463.711813815,4294873.873189055,5141602.106602877,2919505.555215718,3736915.7165909586,4583643.950004781
2044,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3620001.6253016894,4296243.278018023,5469750.055782191,3047214.8776435754,3723456.530359909,4896963.3081240775
2045,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,3873049.5699234596,4637716.669950409,5859870.3635867275,3285514.27631189,4050181.3763388395,5272335.069975158
2046,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4049233.060584396,4396442.967873378,6109747.991146397,3447017.0144943106,3794226.9217832917,5507531.945056311
2047,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4260245.521085126,4750909.291183161,6303076.5678196335,3643404.34151267,4134068.111610705,5686235.388247177
2048,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4433948.519052186,4955639.254390238,6947920.343119429,3802525.717534761,4324216.452872813,6316497.541602004
2049,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4609778.881798008,5227985.430845747,7104776.0674503725,3971178.8817980075,4589385.430845747,6466176.0674503725
2050,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4406472.212960126,5679599.819030716,7349646.348446147,3767872.2129601263,5040999.819030716,6711046.348446147
2051,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4226097.579918606,6018234.454240732,7530435.344407543,3587497.579918606,5379634.454240733,6891835.344407543
2052,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4508095.850077707,6274749.569805841,7657844.9362135865,3869495.850077708,5636149.56980584,7019244.9362135865
2053,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,4673984.456153277,6714340.89152213,7623625.948847739,4035384.456153278,6075740.89152213,6985025.94884774
2054,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5114361.570773247,6717878.343899469,7924379.079718797,4475761.570773248,6079278.34389947,7285779.0797187975
2055,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5460871.2826351775,6573001.031100517,8223411.60109125,4822271.2826351775,5934401.031100517,7584811.60109125
2056,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5735781.92181313,6401748.923752446,8112032.161423795,5097181.92181313,5763148.923752446,7473432.161423795
2057,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5811952.454523196,6801966.003892308,7941389.6549980985,5173352.454523196,6163366.003892308,7302789.6549980985
2058,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,6337165.009390652,6966273.816818301,7952015.975283743,5698565.009390652,6327673.816818301,7313415.975283744
2059,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,6556180.9828789765,7419639.620077738,8000693.051787505,5917580.9828789765,6781039.620077738,7362093.051787505
2060,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,6909162.6602819,7893773.695245955,8431384.778682327,6270562.6602819,7255173.695245955,7792784.778682327
2061,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,7062645.395827452,8222806.026012536,8950633.651445094,6424045.395827452,7584206.026012536,8312033.6514450945
2062,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,7646217.512339136,8641014.240754105,9160157.47385871,7007617.512339137,8002414.240754105,8521557.47385871
2063,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,7478473.245825062,9086735.788294453,9794453.176837586,6839873.245825062,8448135.788294453,9155853.176837586
2064,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,7672919.739043148,9260127.085226715,10517285.305703036,7034319.739043148,8621527.085226715,9878685.305703036
2065,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,8269393.0703714285,9822342.875071533,11240701.963599326,7630793.07037143,9183742.875071533,10602101.963599326
2066,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,9032013.411202488,10049353.946837973,11814901.728108784,8393413.411202488,9410753.946837973,11176301.728108784
