year,run_count,success_through_year_count,success_through_year_rate,cumulative_failure_count,cumulative_failure_rate,first_failure_in_year_count,first_failure_in_year_rate,current_failure_trigger_count,current_failure_trigger_rate,temporary_pressure_count,temporary_pressure_rate,spending_funded_ratio_p10,spending_funded_ratio_p50,spending_funded_ratio_p90,total_net_worth_p10,total_net_worth_p50,total_net_worth_p90,net_worth_p10,net_worth_p50,net_worth_p90
2048,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5778925.182283273,6878558.254730751,9398335.943841517,4631745.652475006,5731378.724922484,8251156.414033249
2049,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5925362.69292107,7413092.789584452,9814084.638299773,4738031.879569514,6225761.976232896,8626753.824948216
2050,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,5813819.634134849,8036768.937426597,10160230.936087789,4584932.242315988,6807881.545607736,8931343.544268928
2051,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,6150501.038610582,8536015.976728505,10442200.667599965,4878602.588078061,7264117.526195984,9170302.217067445
2052,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,6662525.194864497,9106935.534430623,10513588.311444143,5346110.298563337,7790520.638129465,9197173.415142983
2053,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,7065045.107635995,10052252.404251726,10528487.639638092,5702555.689964296,8689762.986580027,9165998.221966393
2054,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,7771901.972255281,9836881.405041002,11321632.256434018,6361725.424965072,8426704.857750794,9911455.70914381
2055,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,8382169.239955513,9794565.343769612,11652233.758078244,6922636.513510147,8335032.617324246,10192701.031632878
2056,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,8959744.588604087,10210579.688291477,12179166.20080243,7449128.216733133,8699963.316420523,10668549.828931477
2057,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,9365171.907482965,10649286.012598425,12711153.142047692,7801683.962596528,9085798.06771199,11147665.197161254
2058,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,9936395.560689278,11291858.760288667,12798232.567293031,8318185.537731817,9673648.737331204,11180022.54433557
2059,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,10777887.932872342,12324660.587304592,13393853.363743467,9103040.55911137,10649813.21354362,11719005.989982495
2060,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,11619494.1355086,12724089.304039543,14925638.930732109,9886027.103665994,10990622.272196937,13192171.8988895
2061,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,12080651.321022484,13652393.157644106,16197833.846618578,10286512.943065386,11858254.779687008,14403695.46866148
2062,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,12838862.804122522,14852964.900629537,17088473.610550776,10981929.582936924,12996031.67944394,15231540.389365178
2063,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,12826400.867813079,15742466.688822128,18457942.28111732,10904474.983885987,13820540.804895036,16536016.397190226
2064,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,13468031.187428175,17714710.194222465,20292685.988695122,11478837.897563634,15725516.904357927,18303492.698830582
2065,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,14832022.657676509,19042782.817288175,22232739.981483877,12773207.60266671,16983967.762278378,20173924.92647408
2066,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,15838414.331420433,20253396.525402583,24005023.608609922,13707540.749485292,18122522.943467446,21874150.026674785
